coreid,aec:associatedTaxa,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:license,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:acceptedNameUsage,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedOrganisms,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:classs,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintSRS,dwc:footprintSpatialFit,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:language,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:materialSampleID,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:modified,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:organismID,dwc:organismName,dwc:organismQuantity,dwc:organismQuantityType,dwc:organismRemarks,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:pointRadiusSpatialFit,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:sampleSizeValue,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,gbif:Identifier,gbif:Reference,gbif:identifiedByID,gbif:recordedByID,idigbio:recordId,symbiota:recordEnteredBy,symbiota:verbatimScientificName,zan:ChronometricDate
3db83402-7892-4ede-b87e-bd6f18941f03,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1592426678,NA,NA,JPB - Herbário Lauro Pires Xavier,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,12430,NA,NA,JPB,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,JPB - Herbário Lauro Pires Xavier,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Corallinaceae,NA,NA,NA,NA,NA,NA,Arthrocardia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UFPB,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,08,Ponta das Frutas,NA,NA,NA,NA,NA,NA,NA,BRA:UFPB:JPB:12430,NA,NA,Alga,NA,NA,NA,NA,NA,NA,NA,Universidade Federal da Paraíba,NA,Alga,NA,NA,NA,JPB12430,"Kanagawa, AI",NA,NA,NA,NA,NA,NA,Arthrocardia gardineri,Manza,NA,NA,gardineri,NA,Espírito Santo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978,NA,NA,NA,NA,NA,NA,NA,NA
bfeb6da3-2676-49df-9cc0-63bc9b439b98,NA,NA,NA,NA,NA,CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/legalcode#languages),1404776291.0921,NA,NA,Rio de Janeiro Botanical Garden,NA,PhysicalObject,"[{""dwc:identifiedBy"": ""M.G. Bovini"", ""dwc:genus"": ""Sida"", ""dwc:specificEpithet"": ""galheirensis"", ""coreid"": ""urn:catalog:JBRJ:RB:700960"", ""dwc:scientificNameAuthorship"": ""Ulbr."", ""dwc:dateIdentified"": ""2012-2"", ""dwc:taxonRank"": ""sp."", ""dwc:scientificName"": ""Sida galheirensis Ulbr."", ""dwc:family"": ""Malvaceae""}]",NA,NA,NA,NA,NA,imagens3.jbrj.gov.br/fsi/server?type=image&source=rb/0/70/9/60/00700960.jpg,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,RB00700960,NA,NA,RB,NA,NA,NA,NA,Brasil,BR,NA,NA,NA,RB - Rio de Janeiro Botanical Garden Herbarium Collection,2/2012,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/04/1971,NA,NA,NA,Malvaceae,NA,NA,NA,NA,NA,NA,Sida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.G. Bovini,NA,NA,NA,JBRJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arredores da cidade.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,Petrolina,NA,NA,NA,NA,NA,NA,NA,urn:catalog:JBRJ:RB:700960,"Erva ereta, flores amarelo-ouro.",NA,NA,NA,NA,NA,NA,NA,NA,RB 542500,NA,NA,NA,NA,NA,NA,70,Academia Brasileira de Ciências,NA,NA,NA,NA,NA,NA,Sida galheirensis Ulbr.,Ulbr.,NA,NA,galheirensis,NA,Pernambuco,NA,NA,sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,NA,NA,NA,NA,NA,NA,NA,NA
e600439c-01d6-4aa3-8875-92e2dfa01a0f,NA,NA,NA,NA,NA,NA,2018-04-16T17:20:08+02:00,NA,NA,NA,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,preservedspecimen,NA,NA,S16-54914,NA,NA,VascularPlants,NA,"South and Central America, Caribbean & Antarctica",NA,NA,Brazil,BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901-11-12,NA,NA,NA,Asteraceae,NA,412,NA,NA,NA,NA,Holocheilus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae;Magnoliophyta;Asterales;Asteraceae;Holocheilus,"South and Central America, Caribbean & Antarctica; Brazil; Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,urn:lsid:biocol.org:col:15668,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,Plantae Itineris Regnelliani IIdi Brasiliae civit. Rio Grande do Sul: Povo Novo pr. Pelotas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S:VascularPlants:S16-54914,NA,NA,Asterales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,Internationella herbariet,Trixis brasiliensis (L.) DC.,412,Gust. O. A:n Malme,NA,NA,NA,NA,NA,NA,Holocheilus brasiliensis (L.) Cabrera,(L.) Cabrera,NA,NA,brasiliensis,NA,Rio Grande do Sul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plantae Itineris Regnelliani IIdi Brasiliae civit. Rio Grande do Sul: Povo Novo pr. Pelotas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b1fb4bdc-e7e3-4266-8b7e-ebaf59dff76c,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1587583528,NA,NA,JPB - Herbário Lauro Pires Xavier,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,49981,NA,NA,JPB,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,JPB - Herbário Lauro Pires Xavier,2019-08,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Solanaceae,NA,NA,NA,NA,NA,NA,Solanum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gouvêa, YF",NA,NA,NA,UFPB,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"Fazenda Sucupira, mata próxima dos experimentos do. Mata de galeria. Relevo levemente inclinado. Solo com boa camada d eserrapilheira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09,Brasília,NA,NA,NA,NA,NA,NA,NA,BRA:UFPB:JPB:49981,"; DESC: Subarbusto com cerca de 1,6 m de altura. Flores alvas, estigmas amarelos, frutos imaturos verdes; Comum no local",NA,Dicotyledon,NA,NA,NA,NA,NA,NA,NA,Universidade Federal da Paraíba,NA,Angiosperma,NA,NA,NA,768,"Santos, AA; Pereira, JB; Oliveira, RC; Alves, AF; Carvalho-Silva, M",NA,NA,NA,NA,NA,NA,Solanum decompositiflorum,Sendtn.,NA,NA,decompositiflorum,NA,Distrito Federal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA
7e4df881-f532-4818-8d26-37984e804c5d,NA,NA,NA,http://www.tropicos.org/Specimen/3102380,NA,http://creativecommons.org/licenses/by/4.0/legalcode,2014-02-17 15:17:00.0,NA,NA,Missouri Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,3102380,NA,NA,MO,http://biocol.org/urn:lsid:biocol.org:col:15859,South America,NA,NA,Brazil,BR,NA,NA,NA,Tropicos,2014,1,-10.0666667,-67.5666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rubiaceae,NA,NA,NA,NA,NA,NA,Coussarea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C.M. Taylor, Paratype",1,NA,NA,MO,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"Senador Guiomard; Fazenda Experimental Catauba, 27km from RIo Branco on road BR-364 to Porto Velho",NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,12,NA,NA,NA,NA,NA,ICNafp,No opinion,NA,urn:catalog:MO:Tropicos:3102380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOBOT,NA,NA,NA,NA,NA,Delprete 8229,Piero G. Delprete|M. Oliveira,NA,NA,NA,NA,NA,NA,Coussarea acrensis C.M. Taylor,C.M. Taylor,NA,NA,acrensis,NA,Acre,NA,100395949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA
30acef7a-5fe5-4092-9b0d-455ec24d02eb,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,2020-02-10 17:50:48-03,NA,NA,UEC - Herbário da Universidade Estadual de Campinas,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,44592,NA,NA,UEC,NA,NA,NA,NA,Brazil,NA,NA,NA,NA,UEC - Herbário da Universidade Estadual de Campinas,NA,07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asteraceae,NA,NA,NA,NA,NA,NA,Stenocline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNICAMP,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"Serra do Cipó Km 108-109, Rodovia, Cerro.",NA,NA,NA,NA,NA,NA,1110,NA,NA,1110,NA,03,Jaboticatubas,NA,NA,NA,NA,NA,NA,NA,BRA:UNICAMP:UEC:44592,"Herbácea até 1m, flores brancas pilosidade serícea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Universidade Estadual de Campinas,NA,Magnoliopsida,NA,NA,NA,18064,"Lewinsohn, TM; Martins, RP",NA,NA,NA,NA,NA,NA,Stenocline chionaea,A.DC.,NA,NA,chionaea,NA,Minas Gerais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985,NA,NA,NA,NA,NA,NA,NA,NA
dba43752-a729-4d31-a9e2-59b9699a1bff,NA,NA,NA,http://www.tropicos.org/Specimen/2972533,NA,http://creativecommons.org/licenses/by/4.0/legalcode,2009-06-24 18:36:00.0,NA,NA,Missouri Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,2972533,NA,NA,MO,http://biocol.org/urn:lsid:biocol.org:col:15859,South America,NA,NA,Brazil,BR,NA,NA,NA,Tropicos,2000,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poaceae,NA,NA,NA,NA,NA,NA,Paspalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morrone & Zuloaga,NA,NA,NA,MO,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"Serra do Cipó (110km Northeast of Bello Horizonte), Minas Gerais. Stony campo between Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,3,NA,NA,NA,NA,NA,ICNafp,Legitimate,NA,urn:catalog:MO:Tropicos:2972533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MOBOT,NA,NA,NA,NA,NA,Chase 9097,Agnes Chase,NA,NA,NA,NA,NA,NA,Paspalum eucomum Nees ex Trin.,Nees ex Trin.,NA,NA,eucomum,NA,Minas Gerais,NA,25529824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1925,NA,NA,NA,NA,NA,NA,NA,NA
e1ed3ca5-6470-45e4-a760-bd7e09cca153,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1575464173,NA,NA,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,26821,NA,NA,MAC,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,NA,28,-9.566469,-36.422006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rhamnaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IMA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,RPPN Santa Fé.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,Tanque D'Arca,NA,NA,NA,NA,NA,NA,NA,BRA:IMA:MAC:26821,Arbusto escandente. Frutos verdes.; Mata Atlântica.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Instituto do Meio Ambiente do Estado de Alagoas,NA,NA,NA,NA,NA,12801,M.C.S.Mota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alagoas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-36.422006,NA,-9.566469,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA
bfe7a023-80a5-4f09-87b7-5119274dac2b,NA,NA,NA,NA,pt,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,1474312184,NA,NA,UB - Herbário da Universidade de Brasília,NA,Collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,134105,NA,NA,UB,NA,NA,NA,NA,Brasil,NA,NA,NA,NA,UB - Herbário da Universidade de Brasília,2003,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Melastomataceae,NA,NA,NA,NA,NA,NA,Miconia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Romero, R",NA,NA,NA,UnB,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,"Estrada para Mata da Zilda, Estação Ambiental Galheiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05,Perdizes,NA,NA,NA,NA,NA,NA,NA,BRA:UNB:UB:134105,Fruto vinho.; Arbóreo 4m.; Mata semidecídua,NA,NA,NA,NA,NA,NA,NA,NA,NA,Universidade de Brasília,NA,Dicotyledoneae,NA,NA,NA,10,"Mendes, S",NA,NA,NA,NA,NA,NA,Miconia minutiflora,(Bonpl.) DC.,NA,NA,minutiflora,NA,Minas Gerais,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA
a9533fe0-b92d-4375-9835-961ae798d4c4,NA,NA,NA,NA,en,NA,T10:16+0400,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2695564,NA,The New York Botanical Garden,NA,PhysicalObject,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreservedSpecimen,NA,NA,2423336,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,South America,NA,NA,Brazil,NA,Araruama,NA,NA,Vascular plants,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2004-04-30,NA,NA,NA,Fabaceae,NA,NA,NA,NA,NA,NA,Peltophorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY,http://biocol.org/urn:lsid:biocol.org:col:15556,NA,NA,Plantae,NA,NA,NA,NA,NA,NA,NA,NA,Morro das Canelas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04,NA,NA,NA,NA,NA,ICN,NA,NA,ab784bde-07cc-49cf-bf11-7d81df0f1fed,NA,NA,Fabales,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magnoliophyta,NA,sheet,NA,194,R. D. Ribeiro,NA,NA,NA,NA,NA,NA,Peltophorum dubium (Spreng.) Taub.,(Spreng.) Taub.,NA,NA,dubium,12,Rio de Janeiro,NA,NA,Species,NA,NA,NA,NA,NA,NA,NA,30 Apr 2004,NA,NA,NA,NA,NA,NA,NA,2004,NA,NA,NA,NA,NA,NA,NA,NA
